POS#110529166343982I|10012126783|14|9002011#28254118|2013-10-21 23:31:35|31.51|0.00|4040.00||||UPOP_POS_YLBMZ9010|2013-10-23 09:32:00
POS#115211201443982I|10012165593|14|9002011#28254198|2013-10-21 23:34:31|100.00|0.00|20000.00||||UPOP_POS_YLBMZ9010|2013-10-23 09:32:00
POS#868345345042162G|10012137388|14|9002011#28253998|2013-10-21 23:28:16|45.00|0.00|19740.00||||UPOP_POS_YLBMZ9010|2013-10-23 09:32:00
POS#868345340702302G|10012140804|14|9002011#28253353|2013-10-21 23:06:30|1.32|0.00|264.00||||UPOP_POS_YLBMZ9010|2013-10-23 09:32:00
POS#519425100205571I|10012140804|14|9002011#28253633|2013-10-21 23:15:50|1.20|0.00|240.00||||UPOP_POS_YLBMZ9010|2013-10-23 09:32:00
POS#519425105405571I|10012185738|14|9002011#28254406|2013-10-21 23:42:10|35.00|0.00|5000.00||||UPOP_POS_YLBMZ9010|2013-10-23 09:32:00
POS#868345345212292G|10012180394|14|9002011#28254041|2013-10-21 23:29:13|1.52|0.00|400.00||||UPOP_POS_YLBMZ9010|2013-10-23 09:32:00
POS#914236287663011I|10012130925|14|9002011#28253425|2013-10-21 23:08:57|1.48|0.00|370.00||||UPOP_POS_YLBMZ9010|2013-10-23 09:32:00
POS#914219247863011I|10012076165|14|9002011#28254371|2013-10-21 23:41:04|1.26|0.00|180.00||||UPOP_POS_YLBMZ9010|2013-10-23 09:32:00
POS#714231262715531I|10012182011|14|9002011#28254732|2013-10-21 23:56:04|0.32|0.00|41.50||||UPOP_POS_YLBMZ9010|2013-10-23 09:32:00
POS#110525189043982I|10012169753|14|9002011#28253610|2013-10-21 23:14:59|40.00|0.00|17540.00||||UPOP_POS_YLBMZ9010|2013-10-23 09:32:00
POS#218248973111925G|10012131724|14|9002011#28254665|2013-10-21 23:53:08|8.54|0.00|1220.00||||UPOP_POS_YLBMZ9010|2013-10-23 09:32:00
POS#519428178305571I|10012085772|14|9002011#28254220|2013-10-21 23:35:18|0.52|0.00|138.00||||UPOP_POS_YLBMZ9010|2013-10-23 09:32:00
POS#618146654322102E|10012107535|14|9002011#28254357|2013-10-21 23:40:32|1.44|0.00|380.00||||UPOP_POS_YLBMZ9010|2013-10-23 09:32:00
POS#218248969742402F|10012150122|14|9002011#28254016|2013-10-21 23:28:45|3.00|0.00|600.00||||UPOP_POS_YLBMZ9010|2013-10-23 09:32:00
POS#714214244715531I|10012146638|14|9002011#28254781|2013-10-21 23:58:15|3.55|0.00|710.00||||UPOP_POS_YLBMZ9010|2013-10-23 09:32:00
POS#418181454392432E|10012112540|14|9002011#28254548|2013-10-21 23:48:09|11.71|0.00|3080.00||||UPOP_POS_YLBMZ9010|2013-10-23 09:32:00
POS#218248972042102F|10012116712|14|9002011#28254506|2013-10-21 23:46:26|4.47|0.00|406.00||||UPOP_POS_YLBMZ9010|2013-10-23 09:32:00
POS#115252286343982I|10012153814|14|9002011#28254124|2013-10-21 23:31:45|40.00|0.00|8000.00||||UPOP_POS_YLBMZ9010|2013-10-23 09:32:00
POS#218248971472412F|10012085772|14|9002011#28254401|2013-10-21 23:41:59|1.33|0.00|350.00||||UPOP_POS_YLBMZ9010|2013-10-23 09:32:00
POS#618146651932572E|10012165593|14|9002011#28253491|2013-10-21 23:11:05|0.05|0.00|10.00||||UPOP_POS_YLBMZ9010|2013-10-23 09:32:00
POS#868345343732272G|10012150122|14|9002011#28253796|2013-10-21 23:21:22|1.28|0.00|256.00||||UPOP_POS_YLBMZ9010|2013-10-23 09:32:00
POS#714205233515531I|10012150626|14|9002011#28254097|2013-10-21 23:30:56|29.64|0.00|3800.00||||UPOP_POS_YLBMZ9010|2013-10-23 09:32:00
POS#218248971672312F|10012063143|14|9002011#28254439|2013-10-21 23:43:43|54.51|0.00|8015.00||||UPOP_POS_YLBMZ9010|2013-10-23 09:32:00
POS#115203234243982I|10012177100|14|9002011#28253849|2013-10-21 23:23:48|4.68|0.00|600.00||||UPOP_POS_YLBMZ9010|2013-10-23 09:32:00
POS#868345349942162G|10012115190|14|9002011#28254685|2013-10-21 23:53:48|2.52|0.00|323.00||||UPOP_POS_YLBMZ9010|2013-10-23 09:32:00
