收款商户号,支付记录编号,出款产品类型,出款金额,收入金额,银行接口编号,银行成功日期,内扣银行手续费,外扣银行手续费,记录生成日期
20121114018,20130329001,1,10000,0,10000000,2013/3/29 0:00:00,,,2013/3/30 0:00:00
20121114018,20130329002,1,1987918,0,10000000,2013/3/29 0:00:00,,,2013/3/30 0:00:00
20121114018,20130329003,1,559773.87,0,10000000,2013/3/29 0:00:00,,,2013/3/30 0:00:00
20121114018,20130329004,1,23700,0,10000000,2013/3/29 0:00:00,,,2013/3/30 0:00:00
20121114018,20130329005,1,6000,0,10000000,2013/3/29 0:00:00,,,2013/3/30 0:00:00
20121114018,20130329006,1,1211764.66,0,10000000,2013/3/29 0:00:00,,,2013/3/30 0:00:00
20121114018,20130329007,1,20601.22,0,10000000,2013/3/29 0:00:00,,,2013/3/30 0:00:00
20121114018,20130329008,1,100,0,10000000,2013/3/29 0:00:00,,,2013/3/30 0:00:00
20121114018,20130329009,1,100,0,10000000,2013/3/29 0:00:00,,,2013/3/30 0:00:00
20121114018,20130329010,1,446656.34,0,10000000,2013/3/29 0:00:00,,,2013/3/30 0:00:00
20121114018,20130329011,1,89300,0,10000000,2013/3/29 0:00:00,,,2013/3/30 0:00:00
20121114018,20130329022648,2,6278.48,2,800002,2013/3/29 0:00:00,,,2013/3/30 0:00:00
20121114018,20130329022671,2,2,2,800002,2013/3/29 0:00:00,,,2013/3/30 0:00:00
20121114018,20130329022652,2,1025.47,2,800002,2013/3/29 0:00:00,,,2013/3/30 0:00:00
20121114018,20130329022646,2,100185,2,800001,2013/3/29 0:00:00,,,2013/3/30 0:00:00
20121114018,20130329022684,2,1305.62,2,800002,2013/3/29 0:00:00,,,2013/3/30 0:00:00
20121114018,20130329022645,2,20037,2,800002,2013/3/29 0:00:00,,,2013/3/30 0:00:00
20121114018,20130329022672,2,7614.33,2,800002,2013/3/29 0:00:00,,,2013/3/30 0:00:00
20121114018,20130329022677,2,983081.7,5.5,800001,2013/3/29 0:00:00,,,2013/3/30 0:00:00
20121114018,20130329022678,2,429329.41,5.5,800001,2013/3/29 0:00:00,,,2013/3/30 0:00:00
20121114018,20130329022657,2,0.48,2,800002,2013/3/29 0:00:00,,,2013/3/30 0:00:00
20121114018,20130329022626,2,5045.98,2,800002,2013/3/29 0:00:00,,,2013/3/30 0:00:00
20121114018,20130329022627,2,5110.01,2,800002,2013/3/29 0:00:00,,,2013/3/30 0:00:00
20121114018,20130329022635,2,3033.98,2,800002,2013/3/29 0:00:00,,,2013/3/30 0:00:00
20121114018,20130329022631,2,2129.67,2,800002,2013/3/29 0:00:00,,,2013/3/30 0:00:00
20121114018,20130329022661,2,464.13,2,800002,2013/3/29 0:00:00,,,2013/3/30 0:00:00
20121114018,20130329022674,2,335.51,2,800002,2013/3/29 0:00:00,,,2013/3/30 0:00:00
20121114018,20130329022675,2,301.5,2,800002,2013/3/29 0:00:00,,,2013/3/30 0:00:00
20121114018,20130329022669,2,100.09,2,800002,2013/3/29 0:00:00,,,2013/3/30 0:00:00
